IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
4.255.56.138,443,443,true,US,North America,IAD,Ashburn,263,10.74
20.82.142.108,8443,443,true,IE,Europe,DUB,Dublin,321,10.46
4.221.60.243,2053,443,true,ZA,Africa,JNB,Johannesburg,256,10.33
20.14.73.143,2053,8443,true,US,North America,LAX,Los Angeles,263,10.13
20.220.29.122,8443,443,true,CA,North America,YYZ,Toronto,437,10.02
20.127.201.36,443,443,true,US,North America,IAD,Ashburn,416,9.95
20.220.29.122,2053,443,true,CA,North America,YYZ,Toronto,492,9.92
20.121.115.188,443,443,true,US,North America,IAD,Ashburn,424,9.77
158.23.81.224,2053,443,true,US,North America,DFW,Dallas,356,9.68
158.23.81.224,8443,443,true,US,North America,DFW,Dallas,307,9.64
158.23.168.120,443,443,true,US,North America,DFW,Dallas,379,9.37
130.0.239.147,2053,443,true,UA,Europe,KBP,Kyiv,278,9.04
74.249.233.213,443,443,true,US,North America,ORD,Chicago,240,8.80
20.221.32.145,443,443,true,US,North America,ORD,Chicago,363,8.78
4.255.56.137,443,443,true,US,North America,IAD,Ashburn,266,8.60
172.191.74.198,443,443,true,US,North America,IAD,Ashburn,222,8.55
52.149.136.203,443,443,true,US,North America,IAD,Ashburn,283,8.48
13.68.186.91,443,443,true,US,North America,IAD,Ashburn,231,8.31
130.0.239.147,8443,443,true,UA,Europe,KBP,Kyiv,262,8.28
4.206.223.188,8443,443,true,CA,North America,YYZ,Toronto,527,8.11
20.84.117.28,443,443,true,US,North America,IAD,Ashburn,380,8.06
20.36.131.211,443,443,true,US,North America,IAD,Ashburn,544,8.01
40.79.73.114,8443,443,true,US,North America,IAD,Ashburn,460,8.00
4.172.225.82,8443,443,true,CA,North America,YYZ,Toronto,216,7.87
4.239.248.70,8443,443,true,CA,North America,YYZ,Toronto,407,7.87
40.123.47.252,8443,443,true,US,North America,IAD,Ashburn,297,7.72
